action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,23232287,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,CN1CCC(CNS(=O)(=O)c2cccc3c(N)cccc23)CC1.Cl.Cl,,,CHEMBL4825702,Eur J Med Chem,2021,"{'bei': '16.40', 'le': '0.32', 'lle': '3.43', 'sei': '7.25'}",CHEMBL4877109,,CHEMBL5029080,5.47,0,http://www.openphacts.org/units/Nanomolar,3613915,=,1,1,=,,IC50,nM,,3400.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,3.4
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,23232288,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,Cl.Nc1cccc2c(S(=O)(=O)NC3CC3c3ccccc3)cccc12,,,CHEMBL4825702,Eur J Med Chem,2021,"{'bei': '13.89', 'le': '0.27', 'lle': '1.44', 'sei': '6.51'}",CHEMBL4860747,,CHEMBL5028247,4.70,0,http://www.openphacts.org/units/Nanomolar,3613916,=,1,1,=,,IC50,nM,,19900.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,19.9
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,23232289,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,CC(C)(C)NS(=O)(=O)c1cccc2c(N)cccc12.Cl,,,CHEMBL4825702,Eur J Med Chem,2021,"{'bei': '17.01', 'le': '0.34', 'lle': '2.24', 'sei': '6.56'}",CHEMBL4874995,,CHEMBL4536645,4.74,0,http://www.openphacts.org/units/Nanomolar,3613917,=,1,1,=,,IC50,nM,,18400.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,18.4
,,23232290,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,CN(Cc1ccccc1)S(=O)(=O)c1cccc2c(N)cccc12.Cl,,,CHEMBL4825702,Eur J Med Chem,2021,,CHEMBL4848131,,CHEMBL5028155,,0,http://www.openphacts.org/units/Nanomolar,3613918,>,1,1,>,,IC50,nM,,20000.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,20.0
,,23232291,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,Cl.Nc1cccc2c(S(=O)(=O)N3CCC(Cc4ccccc4)CC3)cccc12,,,CHEMBL4825702,Eur J Med Chem,2021,,CHEMBL4852581,,CHEMBL5028257,,0,http://www.openphacts.org/units/Nanomolar,3613919,>,1,1,>,,IC50,nM,,20000.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,20.0
,,23232292,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,O=S(=O)(NCc1ccccc1)c1cccc2ccccc12,,,CHEMBL4825702,Eur J Med Chem,2021,,CHEMBL4863964,,CHEMBL4863964,,0,http://www.openphacts.org/units/Nanomolar,3613920,>,1,1,>,,IC50,nM,,20000.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,20.0
,,23232293,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,CN(C)c1cccc2c(S(=O)(=O)NCc3ccccc3)cccc12.Cl,,,CHEMBL4825702,Eur J Med Chem,2021,,CHEMBL4854792,,CHEMBL5028295,,0,http://www.openphacts.org/units/Nanomolar,3613921,>,1,1,>,,IC50,nM,,20000.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,20.0
,,23232294,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,CC(=O)Nc1cccc2c(S(=O)(=O)NCc3ccccc3)cccc12.Cl,,,CHEMBL4825702,Eur J Med Chem,2021,,CHEMBL4859524,,CHEMBL5028442,,0,http://www.openphacts.org/units/Nanomolar,3613922,>,1,1,>,,IC50,nM,,20000.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,20.0
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,23232295,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,Cl.O=S(=O)(NCc1ccccc1)c1cccc2c(NCC3CC3)cccc12,,,CHEMBL4825702,Eur J Med Chem,2021,"{'bei': '13.56', 'le': '0.26', 'lle': '0.83', 'sei': '8.54'}",CHEMBL4857152,,CHEMBL5028108,4.97,0,http://www.openphacts.org/units/Nanomolar,3613923,=,1,1,=,,IC50,nM,,10700.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,10.7
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,23232296,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,Cl.O=S(=O)(NCc1ccccc1)c1cccc2c(NC3CCCCC3)cccc12,,,CHEMBL4825702,Eur J Med Chem,2021,"{'bei': '12.42', 'le': '0.24', 'lle': '-0.16', 'sei': '8.42'}",CHEMBL4864181,,CHEMBL5028536,4.90,0,http://www.openphacts.org/units/Nanomolar,3613924,=,1,1,=,,IC50,nM,,12600.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,12.6
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,23232297,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,Cl.Cl.O=S(=O)(NCc1ccccc1)c1cccc2c(NC3CCNCC3)cccc12,,,CHEMBL4825702,Eur J Med Chem,2021,"{'bei': '12.62', 'le': '0.24', 'lle': '1.51', 'sei': '7.11'}",CHEMBL4847094,,CHEMBL5027940,4.99,0,http://www.openphacts.org/units/Nanomolar,3613925,=,1,1,=,,IC50,nM,,10200.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,10.2
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,23232298,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,CN1CCC(Nc2cccc3c(S(=O)(=O)NCc4ccccc4)cccc23)CC1.Cl.Cl,,,CHEMBL4825702,Eur J Med Chem,2021,"{'bei': '12.75', 'le': '0.25', 'lle': '1.40', 'sei': '8.50'}",CHEMBL4858477,,CHEMBL5028239,5.22,0,http://www.openphacts.org/units/Nanomolar,3613926,=,1,1,=,,IC50,nM,,6000.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,6.0
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,23232299,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,CCN1CCC(Nc2cccc3c(S(=O)(=O)NCc4ccccc4)cccc23)CC1.Cl.Cl,,,CHEMBL4825702,Eur J Med Chem,2021,"{'bei': '12.97', 'le': '0.25', 'lle': '1.28', 'sei': '8.94'}",CHEMBL4846461,,CHEMBL5027938,5.50,0,http://www.openphacts.org/units/Nanomolar,3613927,=,1,1,=,,IC50,nM,,3200.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,3.2
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,23232300,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,CC(=O)N1CCC(Nc2cccc3c(S(=O)(=O)NCc4ccccc4)cccc23)CC1.Cl.Cl,,,CHEMBL4825702,Eur J Med Chem,2021,"{'bei': '11.71', 'le': '0.23', 'lle': '1.38', 'sei': '6.53'}",CHEMBL4851472,,CHEMBL5028462,5.12,0,http://www.openphacts.org/units/Nanomolar,3613928,=,1,1,=,,IC50,nM,,7500.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,7.5
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,23232301,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,Cl.O=C(c1ccccc1)N1CCC(Nc2cccc3c(S(=O)(=O)NCc4ccccc4)cccc23)CC1,,,CHEMBL4825702,Eur J Med Chem,2021,"{'bei': '9.50', 'le': '0.18', 'lle': '-0.30', 'sei': '6.04'}",CHEMBL4851342,,CHEMBL5028254,4.75,0,http://www.openphacts.org/units/Nanomolar,3613929,=,1,1,=,,IC50,nM,,18000.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,18.0
,,23232302,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,Cl.O=C(OCc1ccccc1)N1CCC(Nc2cccc3c(S(=O)(=O)NCc4ccccc4)cccc23)CC1,,,CHEMBL4825702,Eur J Med Chem,2021,,CHEMBL4848209,,CHEMBL5028359,,0,http://www.openphacts.org/units/Nanomolar,3613930,>,1,1,>,,IC50,nM,,20000.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,20.0
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,23232303,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,CS(=O)(=O)N1CCC(Nc2cccc3c(S(=O)(=O)NCc4ccccc4)cccc23)CC1.Cl,,,CHEMBL4825702,Eur J Med Chem,2021,"{'bei': '10.41', 'le': '0.21', 'lle': '1.78', 'sei': '5.16'}",CHEMBL4852534,,CHEMBL5028126,4.93,0,http://www.openphacts.org/units/Nanomolar,3613931,=,1,1,=,,IC50,nM,,11800.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,11.8
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,23232304,[],CHEMBL4827171,Inhibition of recombinant human N-terminal GST-tagged NSD2 CD (941 to 1240 residues) expressed in Escherichia coli using SAM as substrate in presence of nucleosomes by AlphaLISA method,B,,,BAO_0000190,BAO_0000019,assay format,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,,,CHEMBL4825702,Eur J Med Chem,2021,"{'bei': '11.47', 'le': '0.23', 'lle': '5.85', 'sei': '2.41'}",CHEMBL418052,S-ADENOSYLHOMOCYSTEINE,CHEMBL418052,4.41,0,http://www.openphacts.org/units/Nanomolar,3613932,=,1,1,=,,IC50,nM,,39100.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,39.1
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,23232305,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '4.167', 'text_value': None, 'type': 'Time', 'units': 'min', 'value': '250.0'}]",CHEMBL4827172,Inhibition of NSD2 E1009K mutant (unknown origin) using SAM as substrate preincubated for 10 mins followed by substrate addition measured after 4 hrs by AlphaLISA method,B,,UNDEFINED MUTATION,BAO_0000190,BAO_0000357,single protein format,Cl.Nc1cccc2c(S(=O)(=O)NCc3ccccc3)cccc12,,,CHEMBL4825702,Eur J Med Chem,2021,"{'bei': '17.63', 'le': '0.34', 'lle': '2.61', 'sei': '7.63'}",CHEMBL4854710,,CHEMBL5028132,5.51,0,http://www.openphacts.org/units/Nanomolar,3613898,=,1,1,=,,IC50,nM,,3100.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,3.1
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,23232398,[],CHEMBL4827265,Inhibition of NSD2 (953 to 1240 residues) (unknown origin) using SAM as substrate in presence of nucleosome by AlphaScreen assay,B,,,BAO_0000190,BAO_0000357,single protein format,CCC(C)NC(CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,,,CHEMBL4825702,Eur J Med Chem,2021,"{'bei': '12.53', 'le': '0.24', 'lle': '6.11', 'sei': '2.82'}",CHEMBL4866486,,CHEMBL4866486,5.48,0,http://www.openphacts.org/units/Nanomolar,3613934,=,1,1,=,,IC50,nM,,3300.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,3.3
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,23232399,[],CHEMBL4827266,Inhibition of NSD2 (unknown origin),B,,,BAO_0000190,BAO_0000357,single protein format,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CC(N)CC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,,,CHEMBL4825702,Eur J Med Chem,2021,"{'bei': '12.02', 'le': '0.23', 'lle': '6.65', 'sei': '2.20'}",CHEMBL1092583,,CHEMBL1092583,4.58,0,http://www.openphacts.org/units/Nanomolar,3613933,=,1,1,=,,IC50,nM,,26000.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,26.0
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,23232400,[],CHEMBL4827266,Inhibition of NSD2 (unknown origin),B,,,BAO_0000190,BAO_0000357,single protein format,NNc1nc2ccccc2nc1S,,,CHEMBL4825702,Eur J Med Chem,2021,"{'bei': '28.73', 'le': '0.58', 'lle': '4.32', 'sei': '8.65'}",CHEMBL4874776,,CHEMBL4874776,5.52,0,http://www.openphacts.org/units/Nanomolar,3613935,=,1,1,=,,IC50,nM,,3000.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,3.0
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,23232401,[],CHEMBL4827266,Inhibition of NSD2 (unknown origin),B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)N1CCC(N2C[C@H]3C[C@@H](C2)c2ccc(-c4ccccc4CN4CCOCC4)c(=O)n2C3)CC1,,,CHEMBL4825702,Eur J Med Chem,2021,"{'bei': '12.33', 'le': '0.23', 'lle': '3.27', 'sei': '10.43'}",CHEMBL4876215,,CHEMBL4876215,6.05,0,http://www.openphacts.org/units/Nanomolar,3613936,=,1,1,=,,IC50,nM,,890.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,0.89
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,23232402,[],CHEMBL4827266,Inhibition of NSD2 (unknown origin),B,,,BAO_0000190,BAO_0000357,single protein format,O=C1O[C@@H](C(=O)N2CCN(Cc3nc4sc5c(c4c(=O)[nH]3)CCCC5)CC2)Cc2ccccc21,,,CHEMBL4825702,Eur J Med Chem,2021,"{'bei': '10.34', 'le': '0.20', 'lle': '2.66', 'sei': '5.18'}",CHEMBL4860876,,CHEMBL4860876,4.95,0,http://www.openphacts.org/units/Nanomolar,3613937,=,1,1,=,,IC50,nM,,11200.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,11.2
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,23232404,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '1.0', 'text_value': None, 'type': 'Time', 'units': 'hrs', 'value': '1.0'}]",CHEMBL4827268,Inhibition of human NSD2-SET using histone H3.1 as substrate incubated for 1 hr by Western blot analysis,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc2nc(N3CCN(C)CC3)nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC,,,CHEMBL4825702,Eur J Med Chem,2021,"{'bei': '9.20', 'le': '0.17', 'lle': '0.91', 'sei': '6.65'}",CHEMBL1895209,,CHEMBL1895209,4.39,0,http://www.openphacts.org/units/Nanomolar,3613938,=,1,1,=,,IC50,nM,,41000.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,41.0
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,24764563,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '3.0', 'text_value': None, 'type': 'Time', 'units': 'hrs', 'value': '3.0'}]",CHEMBL5124717,Binding affinity to N-terminal His6/Sumo-tagged NSD2 PWWP1 domain (211 to 350 residues) (unknown origin) expressed in Escherichia coli BL21 (DE3) using ATKAARKSAPATGGV-Lys (me)2-KPHRYRPG polypeptide as substrate incubated for 3 hrs by HTRF assay,B,,,BAO_0000190,BAO_0000019,assay format,COc1cc(CN)cc(OC)c1-c1ncn(C)c1-c1ccc(C#N)cc1,,,CHEMBL5120900,J Med Chem,2022,"{'bei': '15.36', 'le': '0.28', 'lle': '2.25', 'sei': '6.22'}",CHEMBL5189001,,CHEMBL5189001,5.35,0,http://www.openphacts.org/units/Nanomolar,3864055,=,1,1,=,,IC50,nM,,4440.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,4.44
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,24764564,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '3.0', 'text_value': None, 'type': 'Time', 'units': 'hrs', 'value': '3.0'}]",CHEMBL5124717,Binding affinity to N-terminal His6/Sumo-tagged NSD2 PWWP1 domain (211 to 350 residues) (unknown origin) expressed in Escherichia coli BL21 (DE3) using ATKAARKSAPATGGV-Lys (me)2-KPHRYRPG polypeptide as substrate incubated for 3 hrs by HTRF assay,B,,,BAO_0000190,BAO_0000019,assay format,COc1cc(CN)ccc1-c1ncn(C)c1-c1ccc(C#N)cc1,,,CHEMBL5120900,J Med Chem,2022,"{'bei': '15.46', 'le': '0.28', 'lle': '1.83', 'sei': '6.40'}",CHEMBL5207536,,CHEMBL5207536,4.92,0,http://www.openphacts.org/units/Nanomolar,3864058,=,1,1,=,,IC50,nM,,11970.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,11.97
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,24764565,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '3.0', 'text_value': None, 'type': 'Time', 'units': 'hrs', 'value': '3.0'}]",CHEMBL5124717,Binding affinity to N-terminal His6/Sumo-tagged NSD2 PWWP1 domain (211 to 350 residues) (unknown origin) expressed in Escherichia coli BL21 (DE3) using ATKAARKSAPATGGV-Lys (me)2-KPHRYRPG polypeptide as substrate incubated for 3 hrs by HTRF assay,B,,,BAO_0000190,BAO_0000019,assay format,Cn1cnc(-c2ccc(CN)cc2)c1-c1ccc(C#N)cc1,,,CHEMBL5120900,J Med Chem,2022,"{'bei': '16.84', 'le': '0.30', 'lle': '1.78', 'sei': '7.18'}",CHEMBL5172625,,CHEMBL5172625,4.86,0,http://www.openphacts.org/units/Nanomolar,3864059,=,1,1,=,,IC50,nM,,13950.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,13.95
"{'action_type': 'INHIBITOR', 'description': 'Negatively effects (inhibits) the normal functioning of the protein e.g., prevention of enzymatic reaction or activation of downstream pathway', 'parent_type': 'NEGATIVE MODULATOR'}",,24764566,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TIME', 'standard_units': 'hr', 'standard_value': '3.0', 'text_value': None, 'type': 'Time', 'units': 'hrs', 'value': '3.0'}]",CHEMBL5124717,Binding affinity to N-terminal His6/Sumo-tagged NSD2 PWWP1 domain (211 to 350 residues) (unknown origin) expressed in Escherichia coli BL21 (DE3) using ATKAARKSAPATGGV-Lys (me)2-KPHRYRPG polypeptide as substrate incubated for 3 hrs by HTRF assay,B,,,BAO_0000190,BAO_0000019,assay format,Cn1cnc(-c2ccc(CN)cc2Cl)c1-c1ccc(C#N)cc1,,,CHEMBL5120900,J Med Chem,2022,"{'bei': '16.15', 'le': '0.31', 'lle': '1.47', 'sei': '7.71'}",CHEMBL5196361,,CHEMBL5196361,5.21,0,http://www.openphacts.org/units/Nanomolar,3864057,=,1,1,=,,IC50,nM,,6110.0,CHEMBL3108645,Homo sapiens,Histone-lysine N-methyltransferase NSD2,9606,,,IC50,uM,UO_0000065,,6.11
